,Population,,,,,,Housing Units,,,,,
Bledsoe County,9669,9478,7643,7811,8561,8358,3771,3406,2357,2158,2064,1814
Blount County,85969,77770,63744,57525,54691,41116,36532,30836,21835,17543,14706,10063
Bradley County,73712,67547,50686,38324,32338,28498,29562,24705,16446,11438,8693,6970
Campbell County,35079,34923,26045,27936,34369,31131,14817,13250,8916,8142,8464,6944
Cannon County,10467,10234,8467,8537,9174,9880,4368,4002,3075,2688,2580,2483
Carroll County,27514,28285,25741,23476,26553,25978,11783,11306,9401,8076,7957,6913
Carter County,51505,50205,43259,41578,42432,35127,21779,19315,14721,12143,10905,7893
Cheatham County,27140,21616,13199,9428,9167,9928,10297,7481,4223,2970,2630,2491
Chester County,12819,12727,9927,9569,11149,11124,4944,4470,3243,3068,3170,2801
Claiborne County,26137,24595,19420,19067,24788,24657,10711,9385,6484,5507,6124,5590
Clay County,7238,7676,6624,7289,8701,10904,3340,3015,2383,2263,2276,2446
Cocke County,29141,28792,25283,23390,22991,24083,12282,11305,8159,6701,6054,5561
Coffee County,40339,38311,32572,28603,23049,18959,16786,14992,11104,8972,6811,4889
Crockett County,13378,14941,14402,14594,16624,17330,5521,5655,5028,4558,4913,4494
Cumberland County,34736,28676,20733,19135,18877,15592,15864,10998,6766,5334,4783,3635
Davidson County,510784,477811,447877,399743,321758,257267,229064,187430,147269,120847,91575,69639
Decatur County,10472,10857,9457,8324,9442,10261,5346,4877,3804,3021,2748,2579
DeKalb County,14360,13589,11151,10774,11680,14588,6694,6080,4374,3718,3466,3806
Dickson County,35061,30037,21977,18839,18805,19718,14149,11140,7563,6000,5631,5046
Dyer County,34854,34663,30427,29537,33473,34920,14384,13332,10680,9752,10081,9214
Fayette County,25559,25305,22692,24577,27535,30322,9115,8152,5947,5899,6879,7254
Fentress County,14669,14826,12593,13288,14917,14262,6120,5606,4049,3449,3467,3043
Franklin County,34725,31983,27289,25528,25431,23892,13717,11583,8781,7388,6644,5718
Gibson County,46315,49467,47871,44699,48132,44835,19635,19577,17103,15303,14348,12190
Giles County,25741,24625,22138,22410,26961,29240,10828,9557,7966,7282,7814,7535
Grainger County,17095,16751,13948,12506,13086,14356,7501,7082,4951,3991,3558,3603
Greene County,55853,54422,47630,42163,41048,39405,23270,21132,16024,12862,11328,9447
Grundy County,13362,13787,10631,11512,12558,11552,5155,5137,3571,3288,3401,2802
Hamblen County,50480,49300,38696,33092,23976,18611,20514,18464,12716,9979,6510,4645
Hamilton County,285536,287643,255077,237905,208255,180478,122588,110287,87603,74377,60713,47414
Hancock County,6739,6887,6719,7757,9116,11231,2890,2686,2303,2393,2396,2436
Hardeman County,23377,23873,22435,21517,23311,23590,9174,8405,6473,5591,5678,5282
Hardin County,22633,22280,18212,17397,16908,17806,10275,8947,6474,5527,4917,4375
Hawkins County,44565,43751,33757,30468,30494,28523,18779,17016,10973,8973,8050,6687
Haywood County,19437,20318,19596,23393,26212,27699,7475,7045,6084,6337,6815,6740
Henderson County,21844,21390,17360,16115,17173,19220,9278,8297,6187,5327,4984,4847
Henry County,27888,28656,23749,22275,23828,25877,13774,13494,9305,8198,7713,7249
Hickman County,16754,15151,12096,11862,13353,14873,6662,5634,4222,3793,3814,3623
Houston County,7018,6871,5853,4794,5318,6432,3085,2799,2128,1683,1499,1576
Humphreys County,15795,15957,13560,11511,11030,12421,7136,6512,4802,3916,3382,3074
Jackson County,9297,9398,8141,9233,12348,15082,4219,3704,2912,3010,3425,3556
Jefferson County,33016,31284,24940,21493,19667,18621,14170,12230,8275,6518,5298,4398
Johnson County,13766,13745,11569,10765,12278,12998,6090,5385,4090,3257,3122,2890
Knox County,335749,319694,276293,250523,223007,178468,143582,125883,93011,77187,62056,45483
Lake County,7129,7455,8074,9572,11655,11235,2610,3000,2826,3334,3574,3271
Lauderdale County,23491,24555,20271,21844,25047,24461,9343,9269,6843,6494,6963,6132
Lawrence County,35303,34110,29097,28049,28818,28726,14229,12540,9546,8463,7950,6777
Lewis County,9247,9700,6761,6269,6078,5849,3943,3249,2395,1947,1775,1369
Lincoln County,28157,26483,24318,23829,25624,27214,11902,10292,8386,7593,7300,7030
Loudon County,31255,28553,24266,23757,23182,19838,12995,10835,8439,7141,6279,4779
McMinn County,42383,41878,35462,33662,32024,30781,17616,15797,12074,10329,8813,7655
McNairy County,22422,22525,18369,18085,20390,20424,9734,9016,6469,5792,5663,5014
Macon County,15906,15700,12315,12197,13599,14904,6879,6096,4420,4044,4022,3757
Madison County,77982,74546,65774,60655,60128,54115,31809,28834,21881,19069,17442,14845
Marion County,24860,24416,20577,21036,20520,19140,10011,9031,6562,5822,5253,4358
Marshall County,21539,19698,17319,16859,17768,16030,8909,7646,6124,5648,5363,4470
Maury County,54812,51095,44028,41699,40368,40357,22286,19540,14889,13040,12014,10850
Meigs County,8033,7431,5219,5160,6080,6393,3689,2996,1842,1476,1548,1491
Monroe County,30541,28700,23475,23316,24513,24275,12803,11002,7736,6683,6259,5509
Montgomery County,100498,83342,62721,55645,44186,33346,37233,29724,18815,15183,10862,8754
Moore County,4721,4510,3568,3454,3948,4093,1912,1669,1242,1111,1107,1059
Morgan County,17300,16604,13619,14304,15727,15242,6378,5924,4168,3783,3654,3198
Obion County,31717,32781,30247,26957,29056,30978,13359,13059,11173,9252,9026,8402
Overton County,17636,17575,14866,14661,17566,18883,7388,6526,5109,4458,4549,4206
Perry County,6612,6111,5238,5273,6462,7535,3225,2842,2160,1817,1914,1915
Pickett County,4548,4358,3774,4431,5093,6213,2253,1867,1382,1407,1292,1361
Polk County,13643,13602,11669,12160,14074,15473,5659,5090,3954,3564,3671,3378
Putnam County,51373,47690,35487,29236,29869,26250,21417,17801,11993,8836,8093,6298
Rhea County,24344,24235,17202,15863,16041,16353,10361,9382,5901,4840,4378,4001
Roane County,47227,48425,38881,39133,31665,27795,20334,18732,13189,11645,8441,6515
Robertson County,41494,37021,29102,27335,27024,29046,15823,13308,9859,8448,7954,7366
Rutherford County,118570,84058,59428,52368,40696,33604,45755,30541,19035,14654,11049,8857
Scott County,18358,19259,14762,15413,17362,15966,7122,6608,4648,4018,4140,3395
Sequatchie County,8863,8605,6331,5915,5685,5038,3570,3162,2003,1640,1407,1137
Sevier County,51043,41418,28241,24251,23375,23291,24166,17504,10268,7971,6567,5436
Shelby County,826330,777113,722111,627019,482393,358250,327796,286381,222649,184868,137985,99413
Smith County,14143,14935,12509,12059,14098,16148,6049,6051,4489,4234,4274,4313
Stewart County,9479,8665,7319,7851,9175,13549,4384,3581,2751,2596,2580,3086
Sullivan County,143596,143968,127329,114139,95063,69085,60623,54976,42187,34285,25815,16372
Sumner County,103281,85790,56266,36217,33533,32719,39807,30153,18657,11629,9706,8359
Tipton County,37568,32930,28001,28564,29782,28036,14071,11574,8517,7860,7953,6891
Trousdale County,5920,6137,5155,4914,5520,6113,2537,2496,1813,1531,1608,1549
Unicoi County,16549,16362,15254,15082,15886,14128,7076,6400,5194,4520,4138,3153
Union County,13694,11707,9072,8498,8670,9030,5696,4642,3119,2491,2283,2174
Van Buren County,4846,4728,3758,3671,3985,4090,2001,1753,1292,982,1018,924
Warren County,32992,32653,26972,23102,22271,19764,13802,12968,9501,7480,6627,5218
Washington County,92315,88755,73924,64832,59971,51631,38378,33673,24240,18738,15633,11980
Wayne County,13935,13946,12365,11908,13864,13638,5741,5175,4180,3632,3672,3187
Weakley County,31972,32896,28827,24227,27962,29498,12857,12463,10146,8602,8829,8343
White County,20090,19567,16329,15577,16204,15983,8369,7585,5778,4987,4538,3966
Williamson County,81021,58108,34423,25267,24307,25220,29875,19719,11060,7304,6787,6493
Wilson County,67675,56064,36999,27668,26318,25267,26198,20135,12900,9130,8026,7007
,,,,,,,,,,,,
Texas,,,,,,,,,,,,
Anderson County,48024,38381,27789,28162,31875,37092,16909,13934,10674,10206,10385,10207
Andrews County,14338,13323,10372,13450,5002,1277,5462,4664,3704,4182,1693,407
Angelina County,69884,64172,49349,39814,36032,32201,28796,24645,17310,13327,11376,8884
Aransas County,17892,14260,8902,7006,4252,3469,10889,7951,4431,2731,1851,1060
Archer County,7973,7266,5759,6110,6816,7599,3680,3341,2413,2439,2197,2155
Armstrong County,2021,1994,1895,1966,2215,2495,916,896,799,764,783,829
Atascosa County,30533,25055,18696,18828,20048,19275,11614,9301,6222,5624,5517,4394
Austin County,19832,17726,13831,13777,14663,17384,8885,7844,5500,5047,4760,4969
Bailey County,7064,8168,8487,9090,7592,6318,3109,3151,3078,3319,2495,1738
Bandera County,10562,7084,4747,3892,4410,4234,6485,4759,3402,2367,1808,1772
Bastrop County,38263,24726,17297,16925,19622,21610,16301,10691,6757,5848,6681,5947
Baylor County,4385,4919,5221,5893,6875,7755,3006,3140,3051,2825,2548,2400
Bee County,25135,26030,22737,23755,18174,16481,10208,8955,7297,6901,5580,4467
Bell County,191088,157820,124483,94097,73824,44863,75957,59640,38155,28669,20134,13035
Bexar County,1185394,988971,830460,687151,500460,338176,455832,345262,249025,196881,137853,90252
Blanco County,5972,4681,3567,3657,3780,4264,3135,2443,1647,1507,1396,1242
Borden County,799,859,888,1076,1106,1396,478,559,397,637,332,366
Bosque County,15125,13401,10966,10809,11836,15761,8074,7439,5653,4847,4387,4478
Bowie County,81665,75301,68909,59971,61966,50208,34234,29810,24347,21254,19364,13887
Brazoria County,191707,169587,108312,76204,46549,27069,74504,60458,34694,24156,13805,6787
Brazos County,121862,93588,57978,44895,38390,26977,48799,35708,18619,14482,11312,7664
Brewster County,8681,7573,7780,6434,7309,6478,4486,3247,2709,2267,2195,1831
Briscoe County,1971,2579,2794,3577,3528,4056,1074,1146,1193,1337,1151,1191
Brooks County,8204,8428,8005,8609,9195,6362,3104,2919,2492,2501,2470,1463
Brown County,34371,33057,25877,24728,28607,25924,16909,15018,10733,9516,10431,7652
Burleson County,13625,12313,9999,11177,13000,18334,7044,6247,4127,4297,4475,5181
Burnet County,22677,17803,11420,9265,10356,10771,12801,9909,5945,3916,3322,3048
Caldwell County,26392,23637,21178,17222,19350,24893,10123,8222,6436,5924,6217,6668
Calhoun County,19053,19574,17831,16592,9222,5911,9559,8381,6304,5688,3302,1945
Callahan County,11859,10992,8205,7929,9087,11568,5503,4856,3454,3152,3181,3288
Cameron County,260120,209727,140368,151098,125170,83202,88759,65970,41457,42083,33844,20607
Camp County,9904,9275,8005,7849,8740,10285,4530,3811,2946,2741,2812,2782
Carson County,6576,6672,6358,7781,6852,6624,2856,2635,2333,2462,2235,1892
Cass County,29982,29430,24133,23496,26732,33496,13191,11745,8735,7745,8227,8840
Castro County,9070,10556,10394,8923,5417,4631,3357,3689,3338,3162,1673,1187
Chambers County,20088,18538,12187,10379,7871,7511,8061,7289,4687,3779,2637,2347
Cherokee County,41049,38127,32008,33120,38694,43970,17629,15611,11916,11229,11282,11206
Childress County,5953,6950,6605,8421,12123,12149,3046,3061,2932,3355,4221,3765
Clay County,10024,9582,8079,8351,9896,12524,4708,4386,3323,3173,3428,3708
Cochran County,4377,4825,5326,6417,5928,3735,1763,1895,1948,2211,1811,931
Coke County,3424,3196,3087,3589,4045,4590,2793,2098,1590,1607,1362,1473
Coleman County,9710,10439,10288,12458,15503,20571,5382,5239,4797,5055,5527,5865
Collin County,264036,144576,66920,41247,41692,47190,103827,51164,23945,15080,13942,13326
Collingsworth County,3573,4648,4755,6276,9139,10331,1952,2163,2048,2566,3150,3204
Colorado County,18383,18823,17638,18463,17576,17812,8537,8575,6707,6508,5709,5040
Comal County,51832,36446,24165,19844,16357,12321,22987,15595,9454,6878,5219,3552
Comanche County,13381,12617,11898,11865,15516,19245,6724,6116,5203,5095,5488,5416
Concho County,3044,2915,2937,3672,5078,6192,1514,1424,1302,1557,1654,1788
Cooke County,30777,27656,23471,22560,22146,24909,13315,11519,8453,7741,7509,6708
Coryell County,64213,56767,35311,23961,16284,20226,18970,16029,8641,6586,5480,5422
Cottle County,2247,2947,3204,4207,6099,7079,1286,1373,1451,1782,2215,2434
Crane County,4652,4600,4172,4699,3965,2841,1795,1687,1481,1599,1309,903
Crockett County,4078,4608,3885,4209,3981,2809,1897,1983,1743,1395,1281,770
Crosby County,7304,8859,9085,10347,9582,10046,3312,3510,3421,4132,3493,3474
Culberson County,3407,3315,3429,2794,1825,1653,1286,1178,1082,889,580,512
Dallam County,5461,6531,6012,6302,7640,6494,2577,2804,2321,2416,2497,1994
Dallas County,1852810,1556419,1327695,951527,614799,398564,795513,625108,451473,316029,197203,120164
Dawson County,14349,16184,16604,19185,19113,15367,5969,6187,6060,6845,6091,4606
Deaf Smith County,19153,21165,18999,13187,9111,6056,7152,7296,6418,4513,2867,1755
Delta County,4857,4839,4927,5860,8964,12858,2305,2275,2168,2539,3175,3536
Denton County,273525,143126,75633,47432,41365,33658,112263,54825,25217,16156,12487,9627
DeWitt County,18840,18903,18660,20683,22973,24935,8568,8228,7110,7175,7313,6907
Dickens County,2571,3539,3737,4963,7177,7847,1564,1614,1686,2161,2291,2362
Dimmit County,10433,11367,9039,10095,10654,8542,3991,3646,2742,2736,2616,2231
Donley County,3696,4075,3641,4449,6216,7487,2304,2112,1652,1845,2107,2324
Duval County,12918,12517,11722,13398,15643,20565,5127,4309,3936,4124,4112,5373
Eastland County,18488,19480,18092,19526,23942,30345,9768,9366,8274,8249,8489,8874
Ector County,118934,115374,92660,90995,42102,15051,48789,42610,30715,29432,13358,4677
Edwards County,2266,2033,2107,2317,2908,2933,1550,1263,943,1047,1031,843
Ellis County,85167,59743,46638,43395,45645,47733,31314,21323,16064,15092,14595,14058
El Paso County,591610,479899,359291,314070,194968,131067,187473,147964,101224,85939,50794,33808
Erath County,27991,22560,18141,16236,18434,20760,12758,10152,7687,6633,6478,6176
Falls County,17712,17946,17300,21263,26724,35984,7733,7940,6895,7875,9008,9741
Fannin County,24804,24285,22705,23880,31253,41064,11504,10395,9216,9577,10837,11375
Fayette County,20095,18832,17650,20384,24176,29246,10756,9527,7949,7637,7732,7870
Fisher County,4842,5891,6344,7865,11023,12932,2413,2644,2788,3401,3702,3557
Floyd County,8497,9834,11044,12369,10535,10659,3535,3859,4093,4968,3469,3225
Foard County,1794,2158,2211,3125,4216,5237,890,1091,1071,1340,1481,1557
Fort Bend County,225421,130962,52314,40527,31056,32963,77075,43201,15035,11551,8694,8080
Franklin County,7802,6893,5291,5101,6257,8378,4219,3182,2158,2013,2180,2384
Freestone County,15818,14830,11116,12525,15696,21138,7812,6839,4929,4776,5112,5796
Frio County,13472,13785,11159,10112,10357,9207,4879,4861,3455,3172,2658,2398
Gaines County,14123,13150,11593,12267,8909,8136,5221,4671,3968,4107,2885,2548
Galveston County,217399,195738,169812,140364,113066,81173,99451,82890,61890,51003,37510,24550
Garza County,5143,5336,5289,6611,6281,5678,2184,2039,2018,2258,2050,1818
Gillespie County,17204,13532,10553,10048,10520,10670,8265,6225,4481,3743,3615,3161
Glasscock County,1447,1304,1155,1118,1089,1193,600,575,433,508,359,399
Goliad County,5980,5193,4869,5429,6219,8798,2835,2119,1855,1842,1903,2368
Gonzales County,17205,16949,16375,17845,21164,26075,7810,7306,6306,6191,6322,6800
Gray County,23967,26386,26949,31535,24728,23911,11532,11230,10617,10981,8480,7155
Grayson County,95021,89796,83225,73043,70467,69499,44223,39483,31617,25887,23041,20032
Gregg County,104948,99495,75929,69436,61258,58027,44689,39528,27329,23901,19932,17637
Grimes County,18828,13580,11855,12709,15135,21960,7744,6385,4966,4817,4883,6039
Guadalupe County,64873,46708,33554,29017,25392,25596,25592,18008,11900,9808,7969,7500
Hale County,34671,37592,34137,36798,28211,18813,13168,14031,12345,11975,8955,5411
Hall County,3905,5594,6015,7322,10930,12117,2189,2632,2617,3682,3659,3925
Hamilton County,7733,8297,7198,8488,10660,13303,4266,4376,3436,3628,3831,3876
Hansford County,5848,6209,6351,6208,4202,2783,2525,2536,2174,1983,1370,808
Hardeman County,5283,6368,6795,8275,10212,11073,2678,2858,3145,3312,3587,3427
Hardin County,41320,40721,29996,24629,19535,15875,16486,15367,10275,8013,5900,4385
Harris County,2818199,2409547,1741912,1243158,806701,528961,1173808,984579,587671,408138,257154,154628
Harrison County,57483,52265,44841,45594,47745,50900,23481,20253,15663,14582,14304,13633
Hartley County,3634,3987,2782,2171,1913,1873,1541,1539,1003,772,628,579
Haskell County,6820,7725,8512,11174,13736,14905,3843,3659,3707,4916,4550,4427
Hays County,65614,40594,27642,19934,17840,15349,25247,14472,8259,6775,5358,4166
Hemphill County,3720,5304,3084,3185,4123,4170,1712,2024,1167,1232,1334,1241
Henderson County,58543,42606,26466,21786,23405,31822,31779,23396,11421,7994,7688,8591
Hidalgo County,383545,283323,181535,180904,160446,106059,128241,89265,50694,47711,41468,24908
Hill County,27146,25024,22596,23650,31282,38355,12899,11945,9666,10013,11111,11265
Hockley County,24199,23230,20396,22340,20407,12693,9279,8410,7024,7793,6984,3465
Hood County,28981,17714,6368,5443,5287,6674,14958,8921,2666,2183,1944,2017
Hopkins County,28833,25247,20710,18594,23490,30274,12676,10719,8188,7172,8121,8367
Houston County,21375,22299,17855,19376,22825,31137,10265,9258,6616,6407,7448,8457
Howard County,32343,33142,37796,40139,26722,20990,13651,13878,12807,12583,8243,5892
Hudspeth County,2915,2728,2392,3343,4298,3149,1288,1145,1003,1093,1308,1080
Hunt County,64343,55248,47948,39399,42731,48793,28959,24084,19112,14761,14838,14163
Hutchinson County,25689,26304,24443,34419,31580,19069,11419,10897,9688,11346,9959,5614
Irion County,1629,1386,1070,1183,1590,1963,842,702,530,514,603,635
Jack County,6981,7408,6711,7418,7755,10206,3497,3371,2886,2878,2773,2961
Jackson County,13039,13352,12975,14040,12916,11720,5841,5384,4537,4612,3807,2982
Jasper County,31102,30781,24692,22100,20049,17491,13824,12889,8800,7152,5803,4455
Jeff Davis County,1946,1647,1527,1582,2090,2375,1348,963,921,536,767,818
Jefferson County,239397,248652,246402,245659,195083,145329,101289,96956,82745,79226,59866,40984
Jim Hogg County,5109,5168,4654,5022,5389,5449,2103,1766,1518,1548,1520,1410
Jim Wells County,37679,36498,33032,34548,27991,20239,13948,12158,10133,9909,7711,4954
Johnson County,97165,67649,45769,34720,31390,30384,37029,24777,16057,12244,10500,9284
Jones County,16490,17268,16106,19299,22147,23378,7639,7461,6715,7705,7439,6516
Karnes County,12455,13593,13462,14995,17139,19248,5117,5283,4509,4597,4809,4872
Kaufman County,52220,39038,32392,29931,31170,38308,20097,14303,10681,9520,9563,9969
Kendall County,14589,10635,6964,5889,5423,5080,6137,4710,3244,2379,2042,1678
Kenedy County,460,543,678,884,632,700,213,205,193,238,136,137
Kent County,1010,1145,1434,1727,2249,3413,603,549,649,696,769,964
Kerr County,36304,28780,19454,16800,14022,11650,17161,13137,7898,6383,4899,3739
Kimble County,4122,4063,3904,3943,4619,5064,2593,2415,1951,1762,1750,1415
King County,354,425,464,640,870,1066,191,215,201,331,296,291
Kinney County,3119,2279,2006,2452,2668,4533,1821,1101,711,899,954,940
Kleberg County,30274,33358,33166,30052,21991,13344,12008,11209,9624,8649,5916,3375
Knox County,4837,5329,5972,7857,10082,10090,2459,2438,2665,3103,3278,2820
Lamar County,43949,42156,36062,34234,43033,50425,18964,17619,13813,12853,14514,13600
Lamb County,15072,18669,17770,21896,20015,17606,6531,6992,7040,8419,8518,5130
Lampasas County,13521,12005,9323,9418,9929,9167,6193,5091,3814,3664,3468,2850
La Salle County,5254,5514,5014,5972,7485,8003,2244,2172,1712,1930,2265,2199
Lavaca County,18690,19004,17903,20174,22159,25485,9549,8743,7494,7282,6903,6852
Lee County,12854,10952,8048,8949,10144,12751,5773,4375,3351,3192,3168,3238
Leon County,12665,9594,8738,9951,12024,17733,7019,4888,4485,3856,3911,4952
Liberty County,52726,47088,33014,31595,26729,24541,22243,19806,12642,10650,8077,6773
Limestone County,20946,20224,18100,20413,25251,33781,9922,8905,6869,7279,8403,9577
Lipscomb County,3143,3766,3486,3406,3658,3764,1683,1558,1395,1221,1223,1062
Live Oak County,9556,9606,6697,7846,9054,9799,5519,4898,3079,2451,2582,2434
Llano County,11631,10144,6979,5240,5377,5996,9773,7570,4783,3230,2179,1852
Loving County,107,91,164,226,227,285,59,50,76,98,74,97
Lubbock County,222636,211651,179295,156271,101048,51782,91770,80509,58690,49307,31475,14888
Lynn County,6758,8605,9107,10914,11030,11931,2978,3171,3438,4495,3728,3963
McCulloch County,8778,8735,8571,8815,11701,13208,4424,4070,3642,3888,4040,3863
McLennan County,189123,170755,147553,150091,130194,101898,78857,65934,52529,50493,40168,29114
McMullen County,817,789,1095,1116,1187,1374,565,510,437,425,489,457
Madison County,10931,10649,7693,6749,7996,12029,4326,3900,2838,2553,2941,3379
Marion County,9984,10360,8517,8049,10172,11457,5729,5633,3637,2728,3090,2992
Martin County,4956,4684,4774,5068,5541,5556,2039,1835,1758,1812,1963,1514
Mason County,3423,3683,3356,3780,4945,5378,2356,2010,1565,1703,1787,1614
Matagorda County,36928,37828,27913,25744,21559,20066,18540,16210,10964,9476,7231,5733
Maverick County,36378,31398,18093,14508,12292,10071,11143,8669,4687,3818,3118,2247
Medina County,27312,23164,20249,18904,17013,16106,10860,8768,7113,6028,4924,4419
Menard County,2252,2346,2646,2964,4175,4521,1562,1408,1260,1349,1429,1270
Midland County,106611,82636,65433,67717,25785,11721,45181,31360,22845,22336,8194,3576
Milam County,22946,22732,20028,22263,23585,33120,10511,9387,7845,8858,8262,8944
Mills County,4531,4477,4212,4467,5999,7951,2582,2276,1982,1988,2154,2313
Mitchell County,8016,9088,9073,11255,14357,12477,4559,4356,3937,4385,4436,3704
Montague County,17274,17410,15326,14893,17070,20442,9262,8534,6684,5982,6122,5689
Montgomery County,182201,127222,49479,26839,24504,23055,73871,49493,18412,9600,7927,6297
Moore County,17865,16575,14060,14773,13349,4461,6837,6082,4903,4690,4169,1288
Morris County,13200,14629,12310,12576,9433,9810,5800,5689,4334,3975,3029,2605
Motley County,1532,1950,2178,2870,3963,4994,1026,958,1041,1324,1421,1530
Nacogdoches County,54753,46786,36362,28046,30326,35392,22768,18317,12304,9557,9226,9305
Navarro County,39926,35323,31150,34423,39916,51308,17219,14951,12495,12851,13454,14676
Newton County,13569,13254,11657,10372,10832,13700,6378,6107,4591,3764,3066,3355
Nolan County,16594,17359,16220,18963,19808,17309,7462,7471,6529,7117,6378,4919
Nueces County,291145,268215,237544,221573,165471,92661,114326,94381,74695,68475,48077,27641
Ochiltree County,9128,9588,9704,9380,6024,4213,3996,3865,3319,3054,2009,1255
Oldham County,2278,2283,2258,1928,1672,1385,861,797,713,576,455,378
Orange County,80509,83838,71170,60357,40567,17382,32032,30649,22204,18511,12589,4680
Palo Pinto County,25055,24062,28962,20516,17154,18456,13349,12236,11733,8251,6482,5599
Panola County,22035,20724,15894,16870,19250,22513,9700,8774,6243,5833,5720,5934
Parker County,64785,44609,33888,22880,21528,20482,26044,17715,11766,8386,7207,5902
Parmer County,9863,11038,10509,9583,5787,5890,3685,3981,3680,3318,1758,1621
Pecos County,14675,14618,13748,11957,9939,8185,5841,5326,4543,3890,2962,2120
Polk County,30687,24407,14457,13861,16194,20635,18662,14180,6090,4534,4966,5439
Potter County,97874,98637,90511,115580,73366,54265,42927,41042,36589,36360,24003,15650
Presidio County,6637,5188,4842,5460,7354,10925,2890,2115,1782,1892,2283,2388
Rains County,6715,4839,3752,2993,4266,7334,3533,2471,1817,1203,1527,1924
Randall County,89673,75062,53885,33913,13774,7185,37807,28544,17346,10540,4390,2149
Reagan County,4514,4135,3239,3782,3127,1997,1685,1499,1203,1416,1098,585
Real County,2412,2469,2013,2079,2479,2420,2049,1537,1030,986,953,708
Red River County,14317,16101,14298,15682,21851,29769,6650,6803,5584,5780,7298,7867
Reeves County,15852,15801,16526,17644,11745,8006,6044,5624,5346,6058,3506,2232
Refugio County,7976,9289,9494,10975,10113,10383,3739,3612,3343,3761,3123,3124
Roberts County,1025,1187,967,1075,1031,1289,492,492,429,404,365,428
Robertson County,15511,14653,14389,16157,19908,25710,7338,6939,5696,6117,6468,7031
Rockwall County,25604,14528,7046,5878,6156,7051,9816,5528,2493,2206,2126,2281
Runnels County,11294,11872,12108,15016,16771,18903,5345,5523,5132,5465,5741,5513
Rusk County,43735,41382,34102,36421,42348,51023,19092,17001,13460,12657,13224,13924
Sabine County,9586,8702,7187,7302,8568,10896,6996,6322,2983,2464,2569,2945
San Augustine County,7999,8785,7858,7722,8837,12471,4168,4267,2951,2550,2742,3280
San Jacinto County,16372,11434,6702,6153,7172,9056,9823,6507,2984,2167,2145,2454
San Patricio County,58749,58013,47288,45021,35842,28871,22126,19476,15163,15107,10708,10767
San Saba County,5401,5841,5540,6381,8666,11012,3078,2870,2439,2723,2816,2995
Schleicher County,2990,2820,2277,2791,2852,3083,1288,1211,1035,1020,1008,957
Scurry County,18634,18192,15760,20369,22779,11545,7702,7240,6209,7218,7409,3313
Shackelford County,3316,3915,3323,3990,5001,6211,1755,1771,1555,1613,1785,1822
Shelby County,22034,23084,19672,20479,23479,29235,10616,10484,7539,7204,7615,8013
Sherman County,2858,3174,3657,2605,2443,2026,1293,1286,1235,922,850,633
Smith County,151309,128366,97096,86350,74701,69090,64369,51153,33993,28708,23031,19280
Somervell County,5360,4154,2793,2577,2542,3071,2429,1877,1255,1151,1103,858
Starr County,40518,27266,17707,17137,13948,13312,12209,7833,4988,4489,3446,2713
Stephens County,9010,9926,8414,8885,10597,12356,4982,4897,3706,3731,3683,3951
Sterling County,1438,1206,1056,1177,1282,1404,623,553,434,499,442,406
Stonewall County,2013,2406,2397,3017,3679,5589,1085,1138,1035,1310,1209,1586
Sutton County,4135,5130,3175,3738,3746,3977,1924,2011,1308,1366,1194,1109
Swisher County,8133,9723,10373,10607,8249,6528,3497,3908,3801,3699,2652,1953
Tarrant County,1170103,860880,715587,538495,361253,225521,491152,337768,241724,182621,114615,67948
Taylor County,119655,110932,97853,101078,63370,44147,49988,41611,33716,32020,19857,12477
Terrell County,1410,1595,1940,2600,3189,2952,810,949,855,908,982,824
Terry County,13218,14581,14118,16286,13107,11160,5296,5444,4799,5671,4370,3071
Throckmorton County,1880,2053,2205,2767,3618,4275,1106,1112,1051,1144,1268,1250
Titus County,24009,21442,16702,16785,17302,19228,9357,8443,6313,5958,5638,5362
Tom Green County,98458,84784,71047,64630,58929,39302,40135,32868,24917,22076,18175,11283
Travis County,576407,419573,295516,212136,160980,111053,264173,175030,100882,65439,45945,30260
Trinity County,11445,9450,7628,7539,10040,13705,7200,5861,3169,2934,3437,3594
Tyler County,16646,16223,12417,10666,11292,11948,9047,8366,5833,4141,3491,3090
Upshur County,31370,28595,20976,19793,20822,26178,12887,11501,7467,6625,6603,6930
Upton County,4447,4619,4697,6239,5307,4297,1868,1875,1830,2258,1765,1424
Uvalde County,23340,22441,17348,16814,16015,13246,9692,8350,6281,5626,4746,3683
Val Verde County,38721,35910,27471,24461,16635,15453,13905,12261,8375,7285,4780,4036
Van Zandt County,37944,31426,22155,19091,22593,31155,17013,13633,9085,7246,7801,8326
Victoria County,74361,68807,53766,46475,31241,23741,29162,24655,16865,15697,9239,6579
Walker County,50917,41789,27680,21475,20163,19868,18349,14464,7965,5861,5531,4850
Waller County,23390,19798,14285,12071,11961,10280,8824,6718,4390,3685,3192,2893
Ward County,13115,13976,13019,14917,13346,9575,5365,5260,4421,4826,4171,2969
Washington County,26154,21998,18842,19145,20542,25387,11717,9644,7344,6837,6662,7005
Webb County,133239,99258,72859,64791,56141,45916,37197,27753,19528,17200,14117,11044
Wharton County,39955,40242,36729,38152,36077,36158,16277,15292,12220,12454,10917,9870
Wheeler County,5879,7137,6434,7947,10317,12411,3071,3203,2884,3002,3216,3426
Wichita County,122378,121082,120563,123528,98493,73604,51413,48360,41776,38504,27374,20577
